Electric Emergency and Disturbance Report - 2015-2020;;;;;;
Month;Date Event Began;Time Event Began;Area Affected;Alert Criteria;Event Type;Number of Customers Affected
April;07/04/15;12:30 PM;Unknown ;Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident;System Operations;Unknown
April;07/04/15;3:34 PM;California;Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational;System Operations;0
April;17/04/15;9:30 PM;Houston, Texas;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;280.982
April;17/04/15;9:16 AM;Canada ;Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational;System Operations;Unknown
April;18/04/15;9:00 PM;Dallas, Fort Worth, Texas;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;89.000
April;24/04/15;7:10 PM;Dallas, Fort Worth, Texas;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;57.000
April;27/04/15;10:30 AM;Louisiana and Texas;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;199.000
May;02/05/15;10:51 PM;Franklin County, Tennessee;Suspected Physical Attack;Vandalism;215
May;04/05/15;3:25 PM;Salt Lake County, Utah;Suspected Physical Attack;Vandalism;Unknown
May;11/05/15;8:32 AM;Shasta County, California;Suspected Physical Attack;Sabotage;0
May;12/05/15;12:40 AM;Coahoma County, Mississippi;Suspected Physical Attack;Sabotage;0
May;18/05/15;3:28 PM;Washington;Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational;Severe Weather;0
May;25/05/15;6:00 PM;North Texas;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;454.000
May;25/05/15;10:45 PM;Fort Bend County, & Harris County ,Texas;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;61.000
May;25/05/15;8:30 PM;Texas;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;57.531
May;25/05/15;8:30 PM;Texas, Louisiana, Arkansas;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;57.351
May;26/05/15;5:30 AM;Texas, Louisiana, Arkansas, Mississippi;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;78.515
June;01/06/15;12:27 AM;Daviess County, Kentucky;Suspected Physical Attack;Vandalism;110
June;01/06/15;7:19 PM;California;Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational;System Operations;484
June;02/06/15;6:58 PM;California;Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational;System Operations;727
June;03/06/15;3:00 PM;Texas;Public appeal to reduce the use of electricity;System Operations;Unknown
June;07/06/15;1:54 PM;Shelby County, Tennessee;Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident;;
;;;;;;
"System-wide voltage reductions of 3 percent or more""";System Operations;Unknown;;;;
June;07/06/15;1:52 PM;Tennessee;Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident;System Operations;Unknown
June;08/06/15;12:00 AM;Merced County, California;Fuel supply emergencies that could impact electric power system adequacy or reliability;System Operations;Unknown
June;20/06/15;1:52 PM;Solano County, California;Suspected Physical Attack;Vandalism;0
June;23/06/15;6:00 PM;Gloucester County, Burlington County, Atlantic County, Cape May County, New Jersey;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;263.000
June;23/06/15;5:06 PM;New Castle County, Delaware;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;65.000
June;23/06/15;5:30 PM;"Delaware County, PA; Chester County, PA";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;200.000
June;23/06/15;6:30 PM;Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;62.442
June;23/06/15;6:18 PM;New Jersey;Load shedding of 100 Megawatts or more implemented under emergency operational policy;;
;;;;;;
"Loss of electric service to more than 50,000 customers for 1 hour or more""";System Operations;156.338;;;;
June;23/06/15;6:26 PM;New Jersey;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;73.000
June;26/06/15;2:00 AM;Kansas;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;110.000
June;27/06/15;5:00 PM;Wayne County, Michigan;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;68.000
June;29/06/15;7:21 PM;Washington;Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational;Severe Weather;0
June;30/06/15;2:00 PM;California;Public appeal to reduce the use of electricity;Severe Weather;Unknown
June;30/06/15;10:50 AM;California;Public appeal to reduce the use of electricity;Severe Weather;Unknown
July;03/07/15;8:30 AM;Butte County, California;Suspected Physical Attack;Suspicious Activity ;0
July;03/07/15;5:17 PM;Texas;Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident;System Operations;30.000
July;13/07/15;2:14 PM;Ohio, Kentucky;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;68.339
July;13/07/15;7:40 PM;Virginia;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;52.739
July;14/07/15;3:29 PM;Arkansas;Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident;Severe Weather;Unknown
July;14/07/15;8:00 PM;Alabama;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;111.644
July;15/07/15;2:00 AM;California;Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident;System Operations;0
July;16/07/15;4:45 PM;Texas;Load shedding of 100 Megawatts or more implemented under emergency operational policy;System Operations;17.311
July;18/07/15;2:00 AM;Henepin and Ramsey County, Minnesota;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;250.000
July;18/07/15;6:26 PM;California;Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational;System Operations;70
July;18/07/15;7:59 PM;California;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;78.164
July;21/07/15;12:47 PM;Washington;Load shedding of 100 Megawatts or more implemented under emergency operational policy;System Operations;Unknown
July;27/07/15;3:52 AM;California;Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational;System Operations;484
July;28/07/15;12:05 PM;Puerto Rico;System-wide voltage reductions of 3 percent or more;System Operations;Unknown
July;29/07/15;4:45 PM;New York;Fuel supply emergencies that could impact electric power system adequacy or reliability;System Operations;0
July;30/07/15;9:50 AM;Texas;Public appeal to reduce the use of electricity;System Operations;Unknown
July;30/07/15;1:00 PM;Tennessee;Suspected Physical Attack;Vandalism;0
July;31/07/15;10:55 AM;Washington;Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational;System Operations;0
August;02/08/15;5:45 PM;"Michigan: Emmet County; Grand Traverse County; Leelanau County; Kalkaska County; Benzie County; Manistee County; Wexford County; Missaukee County; Mecosta County; ";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;162.000
August;03/08/15;12:30 AM;Illinois;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;115.000
August;03/08/15;1:00 AM;Michigan;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;72.520
August;03/08/15;8:27 AM;Arizona: New Mexico;Suspected Physical Attack;Sabotage;Unknown
August;04/08/15;7:17 AM;Massachusetts: Rhode Island:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;132.000
August;11/08/15;7:30 PM;"Texas: Houston;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;100.000
August;13/08/15;3:15 PM;"Texas: Williamson County;";Public appeal to reduce the use of electricity;Other;Unknown
August;27/08/15;9:51 PM;Puerto Rico;Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident / Loss of electric service to more than 50,000 customers for 1 hour or more;System Operations;Unknown
August;29/08/15;10:00 AM;Washington;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;500.000
August;29/08/15;11:00 AM;King County, Skagit County, Whatcom County, Kitsap County, Pierce County, Thurston County, Island County, Washington;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;250.000
August;29/08/15;1:00 PM;"Washington: King County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;64.000
September;03/09/15;2:33 AM;Michigan;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;50.114
September;13/09/15;5:56 PM;"New York: Dutchess County;";Suspected Physical Attack;Vandalism;0
September;20/09/15;1:12 PM;California;Load shedding of 100 Megawatts or more implemented under emergency operational policy;System Operations;Unknown
September;29/09/15;3:40 PM;Oregon;Suspected Physical Attack;Vandalism;Unknown
October;13/10/15;6:30 AM;"Utah: Emery County;";Suspected Physical Attack;Vandalism;0
October;13/10/15;10:25 AM;Texas;Public appeal to reduce the use of electricity;Other;Unknown
October;13/10/15;4:32 PM;California;Public appeal to reduce the use of electricity;Other;Unknown
October;16/10/15;12:25 PM;Utah ;Suspected Physical Attack;Vandalism;0
October;18/10/15;7:00 AM;"California: Central Coast area;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;55.677
October;23/10/15;9:42 AM;Puerto Rico;Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational / Load shedding of 100 Megawatts or more implemented under emergency operational policy / System-wide voltage reductions of 3 percent of more / Loss of electric service to more than 50,000 customers for 1 hour or more;System Operations;300.000
October;28/10/15;1:38 PM;"Pennsylvania: Columbia County; Montour County; Northumberland County;";Suspected Physical Attack;Other;35.000
October;30/10/15;3:00 PM;"Oregon: Josephine County;";Suspected Physical Attack;Other;0
October;31/10/15;12:45 AM;"Texas: Harris County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;130.252
November;01/11/15;11:53 AM;"Ohio: Hamilton County;";Suspected Physical Attack;Vandalism;0
November;02/11/15;5:37 PM;"Arkansas: Hot Spring County;";Suspected Physical Attack;Sabotage;0
November;10/11/15;12:00 PM;"Indiana: Dearborn County;";Suspected Physical Attack;Sabotage;0
November;13/11/15;11:30 AM;New York;Suspected Physical Attack;Suspicious Activity ;Unknown
November;17/11/15;9:00 AM;"Washington: Snohomish County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;89.000
November;17/11/15;10:00 AM;Washington;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;300.000
November;17/11/15;1:30 PM;"Washington: Stevens County, Lincoln County, Adams County, Whitman County, Spokane County; Idaho: Bonner County, Kootenai County, Shoshone County, Benewah County, Idaho County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;182.000
November;21/11/15;8:30 PM;Michigan;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;60.000
November;28/11/15;6:00 AM;Oklahoma;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;55.609
November;28/11/15;6:00 AM;Oklahoma;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;35.000
November;29/11/15;4:48 PM;Puerto Rico;System-wide voltage reductions of 3 percent or more;System Operations;0
November;30/11/15;6:18 AM;Puerto Rico;System-wide voltage reductions of 3 percent or more;System Operations;86.559
December;02/12/15;1:03 PM;"Kansas: Thomas County;";Suspected Physical Attack;Vandalism;0
December;05/12/15;9:00 PM;Kansas;Suspected Physical Attack;Vandalism;0
December;05/12/15;7:22 PM;"New York: Orange County, Sullivan County; Pennsylvania: Pike County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Other;52.476
December;08/12/15;2:00 PM;"Nevada: Clark County;";Suspected Physical Attack;Sabotage;0
December;09/12/15;6:06 PM;Puerto Rico;System-wide voltage reductions of 3 percent or more;System Operations;0
December;09/12/15;4:00 AM;Washington;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;76.300
December;10/12/15;9:25 PM;"Missouri: New Madrid County;";Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident;System Operations;1
December;10/12/15;5:55 PM;"California: Stanislaus County;";Suspected Physical Attack;Vandalism;Unknown
December;10/12/15;3:53 AM;California: Plumas County;Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational;Severe Weather;9.956
December;10/12/15;6:01 AM;"California: Northern;";Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational;Severe Weather;9.956
December;24/12/15;3:00 AM;"Michigan: Antrim County, Charlevoix County, Manistee County, Mecosta County, Kalkaska County, Grand Traverse County, Osceola County, Lake County, Newaygo County, Clare County, Isabella County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;168.000
December;26/12/15;7:30 PM;Texas;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;70.000
December;26/12/15;6:00 PM;Texas: Oklahoma:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;116.800
December;27/12/15;11:38 PM;Oklahoma;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;54.476
December;27/12/15;5:00 PM;Oklahoma;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;50.500
December;29/12/15;8:30 AM;Maine;Suspected Physical Attack;Sabotage;0
December;31/12/15;5:00 PM;"Oklahoma: Blaine County;";Public appeal to reduce the use of electricity;Severe Weather;1.500
December;31/12/15;11:00 AM;Missouri;Suspected Physical Attack;Sabotage;0
January;04/01/16;5:15 AM;"Wisconsin: Milwaukee County;";Suspected Physical Attack;Sabotage;0
January;10/01/16;8:46 PM;Maine: Connecticut: Massachusetts: Vermont: New Hampshire: Rhode Island:;Loss of electric service to more than 50,000 customers for 1 hour or more;Weather;59.859
January;11/01/16;8:16 PM;"Pennsylvania: Chester County;";Suspected Physical Attack;Vandalism;0
January;14/01/16;8:27 AM;Delaware:;Suspected Physical Attack;Vandalism;0
January;17/01/16;12:00 PM;"Utah: Salt Lake County;";Suspected Physical Attack;Sabotage;0
January;22/01/16;3:52 PM;North Carolina: South Carolina:;Loss of electric service to more than 50,000 customers for 1 hour or more;Weather;150.000
January;23/01/16;7:49 AM;New Jersey:;Loss of electric service to more than 50,000 customers for 1 hour or more;Weather;50.900
February;05/02/16;11:21 AM;Connecticut: Massachusetts: Rhode Island:;Loss of electric service to more than 50,000 customers for 1 hour or more;Weather;115057
February;07/02/16;11:30 AM;New York: Orange County;Suspected Cyber Attack;Cyber Attack;Unknown
February;07/02/16;2:58 PM;Oregon: Klamath County;Suspected Physical Attack;Sabotage;Unknown
February;07/02/16;1:21 PM;Utah: Salt Lake County;Suspected Physical Attack;Vandalism;0
February;13/02/16;12:44 PM;California;Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system;Islanding;4300
February;16/02/16;8:35 AM;"Virginia: Roanoke County, Montgomery County; West Virginia: Kanawha County, Cabell County; Tennessee: Sullivan County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Weather;52640
February;19/02/16;10:00 PM;Michigan;Loss of electric service to more than 50,000 customers for 1 hour or more;Weather;145314
February;21/02/16;3:54 PM;Oregon: Klamath County;Suspected Physical Attack;Sabotage;0
February;24/02/16;2:45 PM;North Carolina: South Carolina;Loss of electric service to more than 50,000 customers for 1 hour or more;Weather;284610
February;24/02/16;9:10 AM;Delaware;Suspected Physical Attack;Vandalism;0
February;25/02/16;1:44 AM;Connecticut: Maine: Massachusetts: Rhode Island: Vermont:;Loss of electric service to more than 50,000 customers for 1 hour or more;Weather;114190
February;26/02/16;4:35 PM;Arizona: Maricopa County;Suspected Physical Attack;Sabotage - Operator Action(s);2713
February;26/02/16;12:01 AM;California: San Bernardino County;Fuel supply emergencies that could impact electric power system adequacy or reliability;Fuel Supply Deficiency;0
March;01/03/16;1:35 PM;"Idaho: Ada County;";Suspected Physical Attack;Vandalism;0
March;01/03/16;3:00 PM;"Washington: King County, Whatcom County, Kitsap County, Skagit County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Weather;56000
March;03/03/16;11:00 AM;"California: San Bernardino County;";Fuel supply emergencies that could impact electric power system adequacy or reliability;Fuel Supply Deficiency;0
March;08/03/16;12:00 AM;"Idaho: Bannock County;";Suspected Physical Attack;Sabotage;0
March;10/03/16;4:00 AM;"Washington: Kitsap County, King County, Whatcom County, Island County, Skagit County;";Suspected Physical Attack;Sabotage;0
March;13/03/16;2:00 PM;"Washington: Island County, Skagit County, Whatcom County, King County, Kitsap County, Pierce County, Thurston County;";Suspected Physical Attack;Sabotage;0
March;13/03/16;4:55 PM;Washington:;Suspected Physical Attack;Vandalism;0
March;23/03/16;5:00 AM;"Colorado: Denver, City and County of[12];";Loss of electric service to more than 50,000 customers for 1 hour or more;Weather;0
March;27/03/16;12:00 PM;"Nevada: Clark County;";Suspected Physical Attack;Sabotage;110000
March;30/03/16;9:12 PM;"Massachusetts: Middlesex County[13];";Suspected Physical Attack;Sabotage;50500
April;01/04/16;4:37 PM;Florida: Hillsborough County;Suspected Physical Attack;Sabotage;0
April;02/04/16;11:08 AM;California;Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident;System Operations;0
April;12/04/16;11:30 AM;Washington: Pend Oreille County;Suspected Cyber Attack;Cyber Attack;0
April;14/04/16;4:49 PM;Maryland: Baltimore County;Suspected Physical Attack;Sabotage;0
April;15/04/16;10:00 AM;Utah: Weber County;Suspected Physical Attack;Vandalism;0
April;18/04/16;5:05 AM;Texas: Harris County;Loss of electric service to more than 50,000 customers for 1 hour or more;Weather;415103
April;27/04/16;1:36 PM;Tennessee;Suspected Physical Attack;Vandalism;0
April;27/04/16;5:50 AM;Texas: Harris County;Loss of electric service to more than 50,000 customers for 1 hour or more;Weather;214864
April;27/04/16;6:00 PM;Texas: Rusk County;Suspected Physical Attack;Sabotage;0
May;07/05/16;7:49 AM;"New York: Dutchess County;";Suspected Physical Attack;Sabotage;0
May;08/05/16;9:12 AM;"Washington: Clark County;";Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system;Islanding;Unknown
May;10/05/16;8:45 PM;"Texas: Dallas County, Tarrant County, Parker County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Distribution Interruption;85000
May;14/05/16;9:25 PM;Missouri:;Suspected Physical Attack;Sabotage;0
May;19/05/16;9:36 PM;Utah:;Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident;System Operations;85179
May;20/05/16;12:00 AM;Louisiana:;Loss of electric service to more than 50,000 customers for 1 hour or more;Distribution Interruption ;85000
May;20/05/16;1:15 AM;Louisiana:;Loss of electric service to more than 50,000 customers for 1 hour or more;Weather;57184
May;24/05/16;8:00 AM;Missouri:;Suspected Physical Attack;Vandalism;0
May;26/05/16;9:29 PM;New York:;Loss of electric service to more than 50,000 customers for 1 hour or more;Transmission Interruption;56645
May;31/05/16;7:30 AM;"New York: Tompkins County;";Fuel supply emergencies that could impact electric power system adequacy or reliability;Fuel Supply Deficiency;Unknown
June;07/06/16;12:00 PM;Utah;Suspected Physical Attack;Sabotage ;0
June;14/06/16;7:59 AM;New Jersey;Suspected Physical Attack;Vandalism;0
June;17/06/16;3:40 PM;Georgia, Alabama, Mississippi, Florida;Loss of electric service to more than 50,000 customers for 1 hour or more;Weather;91260
June;17/06/16;4:30 AM;Delaware;Suspected Physical Attack;Vandalism;0
July;02/07/16;4:00 AM;Oregon: Multnomah County;Suspected Physical Attack;Actual Physical Event;0
July;05/07/16;2:45 AM;Texas: Dallas County, Tarrant County;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;52000
July;05/07/16;5:30 PM;Minnesota, Wisconsin;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;250000
July;07/07/16;4:20 AM;"Kansas: Johnson County; Missouri: Jackson County, Platte County, Cass County, Buchanan County, Atchison County, Andrew County, Clay County, Nodaway County";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;58500
July;07/07/16;5:53 AM;North Carolina: New Hanover County;Actual Physical Attack ;Vandalism;0
July;08/07/16;8:50 PM;North Carolina;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;203345
July;08/07/16;7:00 PM;Michigan: Wayne County, Oakland County, Macomb County, St. Clair County, Lapeer County, Tuscola County, Sanilac County, Huron County;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;160895
July;08/07/16;6:00 PM;West Virginia: Virginia;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;62961
July;09/07/16;5:45 PM;Texas: Dallas County;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;62000
July;12/07/16;2:10 PM;Puerto Rico;Voltage Reduction;System Operations;218000
July;13/07/16;1:00 PM;Washington;Suspected Physical Attack;Vandalism;0
July;13/07/16;3:00 PM;Tennessee: Shelby County;Public Appeal;System Operations;Unknown
July;14/07/16;5:30 PM;Oklahoma: Arkansas;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;7300
July;14/07/16;4:30 PM;Arkansas: Louisiana: Mississippi: Texas;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;170244
July;14/07/16;2:44 PM;Oklahoma;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;96966
July;19/07/16;3:45 PM;Idaho;Islanding, Uncontrolled Loss 300+ MW;System Operations;Unknown
July;19/07/16;3:45 PM;Idaho;Islanding, Uncontrolled Loss 300+ MW;System Operations;Unknown
July;21/07/16;7:21 PM;Puerto Rico;Load Shed 100+ MW, Voltage Reduction;System Operations;266000
July;21/07/16;6:18 AM;Delaware: New Castle County;Suspected Physical Attack;Suspicious Activity;0
July;22/07/16;11:50 PM;Massachusetts: Connecticut: Rhode Island: New Hampshire: Vermont: Maine;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;57058
July;23/07/16;3:15 PM;Pennsylvania: Cambria County;Voltage Reduction;System Operations;Unknown
July;23/07/16;7:30 PM;Connecticut: Massachusetts: New Hampshire: Vermont: Rhode Island;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;101073
July;25/07/16;6:51 PM;Puerto Rico;Voltage Reduction;System Operations;0
July;26/07/16;6:51 PM;Puerto Rico;Voltage Reduction;System Operations;37100
July;27/07/16;6:50 PM;Puerto Rico;Voltage Reduction;System Operations;106300
July;28/07/16;6:51 PM;Puerto Rico;Voltage Reduction;System Operations;21600
July;29/07/16;7:09 PM;Puerto Rico;Voltage Reduction;System Operations;0
August;04/08/16;2:15 PM;"Delaware: New Castle County;";Suspected Physical Attack;Vandalism;0
August;07/08/16;6:39 PM;"New Mexico: Bernalillo County;";Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident;System Operations;Unknown
August;10/08/16;6:00 AM;"California: Butte County;";Fuel supply emergencies that could impact electric power system adequacy or reliability;Fuel Supply Deficiency;0
August;11/08/16;4:30 PM;Ohio:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;62140
August;13/08/16;11:42 AM;South Carolina:;Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident;System Operations;0
August;20/08/16;2:18 PM;New York:;Actual Physical Attack;Actual Physical Event;40000
August;23/08/16;5:00 PM;"Texas: Harris County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;72200
August;24/08/16;6:13 PM;Puerto Rico:;Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident;System Operations;400000
August;24/08/16;7:18 PM;"Washington: King County;";Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system;Islanding;Unknown
August;25/08/16;6:40 PM;"Oregon: Crook County;";  Suspected Physical Attack;Vandalism;0
